workerid,trial_type,justification,number,item,slide_number,context,response
7,one_slider,"One butterfly decided to go to the city , one butterfly went home instead.",two,butterflies,8,without,0
7,one_slider,"one dog roll the ball , the other one didn&quotechart because he was afraid the ball would fall off the table",two,control2,9,with,1
7,one_slider,"Four lions bought eggs , and two lions bought cookies.",four,lions,10,with,0
7,one_slider,"two lizards jumped on the book , the other two decided the book was too high and not jumped",two,control3,11,without,0
7,one_slider,"Two dinosaurs ate fish , but only one ate bugs because the other one was too full . ",two,dinosaurs,12,with,0
8,one_slider_practice,The smurf bought the silver convertible and the yellow car,NA,NA,NA,NA,0.98
8,one_slider_practice,The third dog said he wasn&quotechart going to jump on the table.,NA,NA,NA,NA,0
8,one_slider,Two of the frogs thought the rock was too big.,four,frog,6,without,1
8,one_slider,Only two hippos in the story,two,control1,7,without,0
8,one_slider,One butterfly decided to stay in the forest.,two,butterflies,8,with,1
8,one_slider,The second dog decided not to roll its ball.,four,control2,9,without,0.98
8,one_slider,Only one lion bought a cookie.,two,lions,10,with,1
8,one_slider,No lizards climbed on the book. Only two jumped on the book.,two,control3,11,without,0
8,one_slider,Two dinosaurs didn&quotechart like bugs.,four,dinosaurs,12,without,1
