workerid,trial_type,justification,number,item,slide_number,context,response
5,one_slider,The story only featured two hippos.,two,control1,7,without,0
5,one_slider,Only one of the butterflies went to the city the other went home instead.,two,butterflies,8,without,1
5,one_slider,Only one dog rolled his ball across the table the other dog was afraid to because it might roll off the table.,two,control2,9,with,1
5,one_slider,"The story says that ""and two of the lions bought cookies"" but all four bought the eggs.",four,lions,10,with,1
5,one_slider,The story says that two lizards jumped on the book the other two decided the book was too high.,four,control3,11,without,0
5,one_slider,The story said that two dinosaurs ate bugs but the other two dinosaurs ate neither fish nor a bug because they dont like bugs.,four,dinosaurs,12,without,1
6,one_slider_practice,"The smurf bought a silver car and then a yellow car, both costing two pennies. ",NA,NA,NA,NA,0.99
6,one_slider_practice,After the first two dogs jumped on the table the third dog stated he would not jump on the table because he was too small. ,NA,NA,NA,NA,0.01
6,one_slider,After both frogs jumped over the fence one frog decided not to jump over the rock thinking the rock was too big to jump over. ,two,frog,6,with,1
6,one_slider,Teo hippos were thirsty and decided to drink milk. ,four,control1,7,with,0.02
6,one_slider,After the four butterflies went to the forest two of them decided they didn&quotechart like the forest and left to go to the city. ,four,butterflies,8,with,0.98
6,one_slider,Only one dog rolled the ball because the second dog decided not to roll the ball because it was afraid the ball might roll off the table. ,two,control2,9,with,0.99
6,one_slider,"The four lions did buy eggs but the puppet stated egg (not plural), it is not clear if the lions only bought one egg. ",four,lions,10,with,0.62
6,one_slider,Two lizards did not go onto the book because they felt it was too high to jump on. ,two,control3,11,without,0
6,one_slider,Two dinosaurs did not eat bugs because they do not like bugs. ,four,dinosaurs,12,without,0.98
7,one_slider_practice,he bought two cars 2 penny&quotechars each he ha 1 penny left,NA,NA,NA,NA,0.96
7,one_slider_practice,the little dog did not jump up on table because h was two little.,NA,NA,NA,NA,0.03
7,one_slider,i fro thought the rock was too big so he did not jump over the rock,two,frog,6,with,0.96
7,one_slider,there was only two hippos in the story,two,control1,7,without,0.04
7,one_slider,two butterflies went into the city and the other two stayed home,four,butterflies,8,without,0.99
7,one_slider,the other dog was afraid its ball might roll off the table,two,control2,9,without,0.97
7,one_slider,two lions did not like cookies,four,lions,10,without,0.97
7,one_slider,two lizards jumped up on top of book but to others decided book was too high and decided not to jump,two,control3,11,without,0.05
7,one_slider,two dinosaurs did not like ugs and did not eat them,four,dinosaurs,12,without,0.97
8,one_slider_practice,The smurh purchased a silver convertible and a yellow car,NA,NA,NA,NA,0.99
8,one_slider_practice,One of the dog did not jump because he was to small,NA,NA,NA,NA,0
8,one_slider,Because two of the four frogs thought that the rock was too big,four,frog,6,without,1
8,one_slider,Only two hippos drank milk,two,control1,7,with,0
8,one_slider,Because two of the butterflies decided to stay on the forest,four,butterflies,8,with,1
8,one_slider,Because one of the dog was afraid that the ball might roll off the table,two,control2,9,with,1
8,one_slider,Because two lions didn&quotechart like cookies,four,lions,10,without,1
8,one_slider,"Because only two of the four lizard climbed on the book, the others decided not to jump",four,control3,11,with,0
8,one_slider,"because one if the dinosaurs was still hungry, so he decided to also eat a bug",two,dinosaurs,12,with,0
