workerid,trial_type,justification,number,item,slide_number,context,response
7,one_slider,"One of the butterflies decided to go to the city, while the other decided to go home instead.",two,butterflies,8,without,0
7,one_slider,"The first dog rolled his ball, but the second dog decided to not roll his ball because he thought it would roll off the table.",two,control2,9,without,1
7,one_slider,"One lion bought an egg and a cookie, but the other lion did not because he liked neither.",two,lions,10,without,0
7,one_slider,"Two of the four lizards thought the book was too high, and they decided not to jump. Only two lizards climbed on the book.",two,control3,11,with,0
7,one_slider,Two of the four dinosaurs decided not to eat bugs because they did not like bugs.,four,dinosaurs,12,without,1
8,one_slider_practice,"According to the narrator, Brainy smurf bought the first car for two pennies, bought the second car for two pennies, had only one penny left, and decided he was finished with purchasing vehicles.",NA,NA,NA,NA,1
8,one_slider_practice,The third dog said he wouldn&quotechart jump on the table because he was too small.,NA,NA,NA,NA,0.01
8,one_slider,"All four frogs jumped over the fence. While two frogs DID jump over the rock, the other two DID NOT as it was too big.",four,frog,6,with,1
8,one_slider,The story only talks about two hippos throughout the entire narrative.,four,control1,7,with,0
8,one_slider,"One butterfly stayed in the forest, but the second one decided to leave and go to the city. There is a chance the second butterfly didn&quotechart follow through on his decision, but it is VERY LIKELY that one butterfly DID go to the city.",two,butterflies,8,with,0.07
8,one_slider,The second dog was afraid of his ball rolling off the table. Therefore he decided he would not roll the ball.,two,control2,9,with,1
8,one_slider,"Of the four, two bought only a cookie, and two bought nothing. That means that two lions didn&quotechart buy a cookie (as well as not buying anything else).",four,lions,10,without,1
8,one_slider,"Two lizards decided the book was too high, and so did not jump on the book.",two,control3,11,with,0
8,one_slider,The two dinosaurs didn&quotechart like bugs and so did not eat the bugs.,four,dinosaurs,12,without,1
